名称,発生場所,発生年月日,当事者種別,事故内容,所轄警察署,事故類型,地点経度,地点緯度
全事故,江府町大字武庫,2012/12/12,普通乗用×普通乗用,軽傷事故,黒坂署,車両相互,133.47667777800,35.27000555560
全事故,伯耆町岩立,2012/11/18,軽乗用×普通乗用,軽傷事故,黒坂署,車両相互,133.47089444400,35.36262500000
全事故,伯耆町大殿,2012/11/18,自転車×軽乗用貨物,軽傷事故,黒坂署,車両相互,133.40291666700,35.38474722220
全事故,伯耆町大殿,2012/11/02,軽乗用×軽乗用,軽傷事故,黒坂署,車両相互,133.39806944400,35.38781666670
全事故,江府町大字助澤,2012/07/15,軽二輪×軽乗用貨物×二輪751ｃｃ以上,軽傷事故,黒坂署,車両相互,133.55307777800,35.29531944440
全事故,伯耆町吉定,2012/10/03,普通乗用×251-400,軽傷事故,黒坂署,車両相互,133.41342222200,35.37646944440
全事故,伯耆町小林,2012/09/16,普通乗用×251-400,重傷事故,黒坂署,車両相互,133.51143333300,35.37761388890
全事故,伯耆町吉定,2012/08/27,普通貨物×歩行者,軽傷事故,黒坂署,人対車両,133.41774166700,35.37109166670
全事故,江府町大字宮市,2012/08/14,軽乗用×軽乗用,軽傷事故,黒坂署,車両相互,133.50458333300,35.28902222220
全事故,伯耆町大殿,2012/09/06,軽乗用×軽乗用貨物,軽傷事故,黒坂署,車両相互,133.39581666700,35.38474444440
全事故,伯耆町根雨原,2012/09/02,軽乗用×軽乗用,軽傷事故,黒坂署,車両相互,133.45801666700,35.31726666670
全事故,伯耆町岸本,2012/08/17,普通乗用×物件等×軽乗用貨物,軽傷事故,黒坂署,車両単独,133.41079722200,35.38059166670
全事故,伯耆町長山,2012/08/31,小特・農×相手なし,重傷事故,黒坂署,車両単独,133.43880833300,35.34972222220
全事故,日野町福長,2012/07/28,普通乗用×普通乗用,軽傷事故,黒坂署,車両相互,133.32898888900,35.18280277780
全事故,日南町下阿毘縁,2012/08/09,軽乗用×自転車,重傷事故,黒坂署,車両相互,133.19864722200,35.21348333330
全事故,日野町根雨,2012/06/09,中型貨物×大型貨物,軽傷事故,黒坂署,車両相互,133.44068333300,35.24233333330
全事故,日野町福長,2012/05/21,普通乗用×軽乗用,軽傷事故,黒坂署,車両相互,133.30994444400,35.20141666670
全事故,伯耆町白水,2012/05/22,軽乗用×物件等,重傷事故,黒坂署,車両単独,133.45143611100,35.32078611110
全事故,日野町下菅,2012/04/23,大型貨物×自転車,重傷事故,黒坂署,車両相互,133.38736111100,35.20829722220
全事故,日野町津地,2012/04/23,小特・農×相手なし,死亡事故,黒坂署,車両単独,133.42225000000,35.24324444440
全事故,日南町矢戸,2012/04/06,普通乗用×軽乗用貨物,軽傷事故,黒坂署,車両相互,133.25288055600,35.16400555560
全事故,江府町大字下蚊屋,2012/04/08,二輪751ｃｃ以上×物件等,重傷事故,黒坂署,車両単独,133.57431666700,35.29038055560
全事故,日野町下菅,2012/02/07,普通乗用×軽乗用,重傷事故,黒坂署,車両相互,133.38748055600,35.21287777780
全事故,伯耆町大殿,2012/01/29,軽乗用貨物×軽乗用,軽傷事故,黒坂署,車両相互,133.39487500000,35.38953333330
全事故,伯耆町小町,2011/12/25,軽乗用貨物×普通乗用,軽傷事故,黒坂署,車両相互,133.40841944400,35.36485000000
全事故,伯耆町大殿,2011/12/16,普通乗用×軽乗用,軽傷事故,黒坂署,車両相互,133.39751666700,35.38815277780
全事故,境港市竹内町,2012/12/03,軽乗用×軽乗用,軽傷事故,境港署,車両相互,133.23215000000,35.52174166670
全事故,境港市渡町,2012/12/01,軽乗用貨物×原付,軽傷事故,境港署,車両相互,133.20955555600,35.52220555560
全事故,境港市外江町,2012/11/27,普通貨物×自転車,軽傷事故,境港署,車両相互,133.21184166700,35.52649722220
全事故,境港市佐斐神町,2012/11/24,軽乗用×軽乗用,軽傷事故,境港署,車両相互,133.25563888900,35.50453055550
全事故,境港市佐斐神町,2012/11/17,普通乗用×軽乗用,重傷事故,境港署,車両相互,133.25099166700,35.50243888890
